Âge,Sexe,Revenu_Mensuel,Diplôme,Lieu_de_Vie,Sport,Lecture,Culture,Type_Alimentation,Score_Écologie,Orientation_Politique,Religion,Usage_Réseaux_Sociaux,Achats_en_Ligne,Fréquence_Voyages
64,Femme,1222,Bac+5,Grande ville,Rarement,Occasionnel,Jamais,Industriel,9,Centre,Croyant non pratiquant,1-3h/j,Jamais,2-3x/an
50,Femme,743,Bac,Grande ville,Rarement,Régulier,1x/an,Bio,3,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
65,Femme,564,Bac+2,Grande ville,Rarement,Régulier,1x/an,Bio,4,Apolitique,Pratiquant,<1h/j,2x+/sem,1x/an
43,Homme,1788,Bac+2,Banlieue,Rarement,Jamais,1x/an,Végétarien,6,Droite,Agnostique,1-3h/j,1x/sem,2-3x/an
37,Femme,1285,Bac,Grande ville,Jamais,Occasionnel,1x/an,Industriel,10,Apolitique,Agnostique,Jamais,1x/mois,Jamais
32,Homme,3486,Bac+5,Grande ville,1-2x/sem,Jamais,1x/mois ou +,Végétarien,1,Centre,Pratiquant,<1h/j,1x/mois,2-3x/an
54,Femme,2046,Bac,Grande ville,3x+/sem,Jamais,1x/an,Industriel,7,Apolitique,Agnostique,1-3h/j,Jamais,2-3x/an
50,Femme,500,Bac+5,Ville moyenne,3x+/sem,Jamais,2-4x/an,Industriel,8,Centre,Croyant non pratiquant,1-3h/j,1x/mois,4x+/an
34,Homme,3134,Bac+2,Banlieue,Rarement,Régulier,1x/mois ou +,Industriel,1,Droite,Agnostique,<1h/j,1x/mois,1x/an
22,Femme,2129,Bac+2,Campagne,1-2x/sem,Régulier,1x/an,Industriel,7,Droite,Agnostique,3h+/j,2x+/sem,Jamais
67,Femme,2563,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Équilibré,3,Centre,Croyant non pratiquant,Jamais,1x/mois,Jamais
21,Femme,2545,Bac+5,Ville moyenne,Rarement,Occasionnel,1x/mois ou +,Équilibré,7,Apolitique,Croyant non pratiquant,1-3h/j,1x/mois,1x/an
20,Femme,2237,Bac+2,Campagne,Rarement,Jamais,1x/mois ou +,Équilibré,10,Centre,Agnostique,Jamais,1x/sem,4x+/an
38,Homme,2418,Bac+5,Campagne,Jamais,Occasionnel,2-4x/an,Bio,5,Droite,Croyant non pratiquant,1-3h/j,Jamais,2-3x/an
57,Homme,2191,Bac+2,Grande ville,1-2x/sem,Régulier,2-4x/an,Équilibré,10,Droite,Athée,Jamais,1x/sem,1x/an
20,Femme,1114,Aucun,Banlieue,Rarement,Jamais,1x/mois ou +,Bio,6,Gauche,Athée,3h+/j,2x+/sem,Jamais
38,Femme,2293,Bac+2,Banlieue,Rarement,Jamais,2-4x/an,Équilibré,4,Apolitique,Athée,3h+/j,2x+/sem,2-3x/an
65,Homme,2819,Aucun,Banlieue,3x+/sem,Occasionnel,1x/mois ou +,Bio,5,Apolitique,Pratiquant,3h+/j,2x+/sem,1x/an
66,Homme,1831,Bac+2,Campagne,3x+/sem,Occasionnel,2-4x/an,Industriel,9,Centre,Athée,Jamais,2x+/sem,2-3x/an
25,Homme,2441,Bac,Campagne,1-2x/sem,Régulier,2-4x/an,Bio,7,Apolitique,Pratiquant,<1h/j,1x/mois,1x/an
59,Homme,2335,Bac+2,Banlieue,Jamais,Jamais,2-4x/an,Végétarien,6,Droite,Pratiquant,1-3h/j,Jamais,1x/an
53,Homme,3452,Bac+5,Grande ville,3x+/sem,Occasionnel,2-4x/an,Bio,10,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
46,Femme,1797,Bac+5,Campagne,Rarement,Occasionnel,2-4x/an,Bio,1,Gauche,Athée,1-3h/j,1x/mois,4x+/an
56,Homme,1766,Bac+2,Grande ville,Rarement,Jamais,1x/mois ou +,Industriel,5,Gauche,Pratiquant,3h+/j,1x/mois,1x/an
51,Homme,1906,Doctorat,Grande ville,1-2x/sem,Occasionnel,Jamais,Industriel,1,Apolitique,Agnostique,1-3h/j,1x/sem,2-3x/an
39,Femme,1918,Bac+2,Ville moyenne,Jamais,Régulier,1x/mois ou +,Bio,6,Centre,Agnostique,<1h/j,Jamais,2-3x/an
48,Femme,500,Aucun,Ville moyenne,Jamais,Occasionnel,2-4x/an,Industriel,9,Gauche,Agnostique,1-3h/j,1x/sem,1x/an
45,Femme,1485,Bac+5,Ville moyenne,Rarement,Occasionnel,2-4x/an,Végétarien,1,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
52,Femme,2239,Bac+2,Banlieue,3x+/sem,Occasionnel,2-4x/an,Végétarien,10,Droite,Croyant non pratiquant,Jamais,1x/sem,1x/an
51,Homme,1993,Bac+2,Grande ville,Jamais,Jamais,1x/mois ou +,Bio,7,Apolitique,Croyant non pratiquant,3h+/j,2x+/sem,2-3x/an
30,Homme,1360,Bac+5,Ville moyenne,Jamais,Occasionnel,1x/an,Équilibré,10,Centre,Agnostique,1-3h/j,1x/sem,2-3x/an
58,Femme,1468,Bac,Ville moyenne,Jamais,Occasionnel,2-4x/an,Bio,7,Centre,Croyant non pratiquant,1-3h/j,2x+/sem,Jamais
21,Homme,1715,Bac,Grande ville,Rarement,Jamais,Jamais,Végétarien,5,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,Jamais
60,Homme,1358,Aucun,Banlieue,Rarement,Régulier,2-4x/an,Industriel,9,Droite,Athée,<1h/j,1x/mois,4x+/an
23,Femme,1589,Bac+5,Ville moyenne,Rarement,Jamais,2-4x/an,Industriel,3,Droite,Agnostique,3h+/j,Jamais,4x+/an
18,Femme,1568,Bac,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Végétarien,3,Droite,Croyant non pratiquant,1-3h/j,1x/mois,2-3x/an
29,Femme,2716,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,1x/mois ou +,Industriel,5,Apolitique,Agnostique,Jamais,1x/sem,2-3x/an
52,Femme,2813,Bac+2,Grande ville,Rarement,Occasionnel,1x/mois ou +,Bio,8,Gauche,Agnostique,<1h/j,Jamais,2-3x/an
28,Homme,2746,Doctorat,Banlieue,1-2x/sem,Jamais,2-4x/an,Équilibré,7,Gauche,Pratiquant,Jamais,1x/mois,1x/an
40,Femme,2341,Aucun,Banlieue,1-2x/sem,Occasionnel,2-4x/an,Équilibré,5,Gauche,Croyant non pratiquant,3h+/j,1x/sem,1x/an
31,Homme,1433,Doctorat,Ville moyenne,3x+/sem,Occasionnel,1x/an,Équilibré,4,Droite,Pratiquant,1-3h/j,1x/mois,2-3x/an
36,Femme,2767,Bac+2,Ville moyenne,Rarement,Occasionnel,1x/an,Équilibré,7,Centre,Athée,1-3h/j,1x/sem,Jamais
54,Femme,1748,Bac+2,Grande ville,3x+/sem,Jamais,2-4x/an,Équilibré,8,Centre,Croyant non pratiquant,1-3h/j,1x/mois,Jamais
33,Homme,2018,Bac+2,Grande ville,3x+/sem,Régulier,1x/an,Végétarien,3,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
61,Femme,3070,Bac+2,Grande ville,1-2x/sem,Jamais,2-4x/an,Équilibré,4,Droite,Croyant non pratiquant,3h+/j,1x/sem,1x/an
45,Homme,2067,Bac+2,Grande ville,Rarement,Occasionnel,1x/an,Industriel,7,Apolitique,Pratiquant,3h+/j,Jamais,1x/an
62,Femme,2197,Bac+2,Banlieue,1-2x/sem,Occasionnel,1x/an,Équilibré,6,Apolitique,Croyant non pratiquant,1-3h/j,1x/mois,2-3x/an
48,Homme,869,Bac,Grande ville,1-2x/sem,Régulier,1x/mois ou +,Bio,6,Gauche,Athée,<1h/j,1x/sem,1x/an
24,Homme,2389,Doctorat,Ville moyenne,Jamais,Jamais,1x/an,Industriel,5,Apolitique,Agnostique,Jamais,1x/mois,Jamais
63,Homme,1215,Bac+5,Banlieue,3x+/sem,Occasionnel,1x/mois ou +,Équilibré,8,Gauche,Pratiquant,3h+/j,1x/mois,1x/an
69,Homme,2809,Bac+2,Ville moyenne,Rarement,Jamais,2-4x/an,Industriel,3,Droite,Croyant non pratiquant,<1h/j,1x/mois,1x/an
44,Homme,1852,Aucun,Banlieue,Jamais,Occasionnel,2-4x/an,Équilibré,5,Droite,Pratiquant,<1h/j,1x/mois,2-3x/an
34,Homme,500,Bac+5,Campagne,Jamais,Occasionnel,1x/an,Industriel,9,Apolitique,Croyant non pratiquant,<1h/j,Jamais,2-3x/an
24,Homme,1713,Aucun,Ville moyenne,1-2x/sem,Régulier,Jamais,Équilibré,7,Apolitique,Athée,3h+/j,1x/mois,1x/an
32,Femme,1817,Bac+5,Banlieue,Jamais,Jamais,1x/mois ou +,Équilibré,8,Apolitique,Athée,<1h/j,1x/sem,2-3x/an
57,Homme,2388,Aucun,Grande ville,Rarement,Jamais,2-4x/an,Industriel,1,Apolitique,Pratiquant,<1h/j,1x/mois,1x/an
29,Homme,2536,Bac+5,Grande ville,3x+/sem,Régulier,1x/an,Équilibré,6,Gauche,Croyant non pratiquant,<1h/j,2x+/sem,1x/an
25,Homme,1737,Bac+5,Ville moyenne,Jamais,Occasionnel,Jamais,Bio,8,Apolitique,Pratiquant,<1h/j,1x/sem,Jamais
19,Femme,2810,Bac+2,Ville moyenne,1-2x/sem,Jamais,1x/mois ou +,Industriel,3,Gauche,Croyant non pratiquant,<1h/j,1x/sem,4x+/an
61,Homme,500,Bac+2,Grande ville,Jamais,Régulier,1x/an,Équilibré,1,Apolitique,Agnostique,Jamais,1x/sem,2-3x/an
55,Homme,1428,Bac+5,Ville moyenne,Rarement,Régulier,1x/an,Bio,6,Gauche,Agnostique,<1h/j,Jamais,2-3x/an
43,Femme,1110,Doctorat,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Industriel,2,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
68,Homme,996,Aucun,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Industriel,6,Gauche,Athée,Jamais,Jamais,1x/an
38,Homme,2767,Bac,Ville moyenne,1-2x/sem,Occasionnel,1x/an,Équilibré,7,Apolitique,Agnostique,3h+/j,1x/sem,4x+/an
67,Homme,2663,Bac+5,Ville moyenne,Rarement,Occasionnel,1x/an,Bio,5,Droite,Pratiquant,1-3h/j,1x/mois,Jamais
30,Femme,1379,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,1x/mois ou +,Bio,10,Droite,Agnostique,1-3h/j,Jamais,1x/an
36,Femme,2942,Bac,Ville moyenne,Jamais,Jamais,1x/an,Industriel,2,Apolitique,Athée,<1h/j,1x/sem,Jamais
35,Homme,2081,Bac+2,Banlieue,Rarement,Occasionnel,Jamais,Industriel,4,Centre,Agnostique,<1h/j,1x/sem,2-3x/an
19,Femme,1662,Bac,Grande ville,3x+/sem,Régulier,2-4x/an,Industriel,6,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
69,Homme,1445,Aucun,Ville moyenne,Rarement,Régulier,1x/mois ou +,Industriel,7,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
62,Homme,1377,Bac+5,Grande ville,Rarement,Occasionnel,Jamais,Bio,3,Droite,Croyant non pratiquant,1-3h/j,2x+/sem,1x/an
59,Femme,2378,Bac+5,Ville moyenne,Rarement,Jamais,1x/an,Industriel,4,Apolitique,Athée,3h+/j,1x/sem,2-3x/an
66,Homme,2520,Bac+5,Grande ville,Rarement,Jamais,1x/an,Industriel,5,Gauche,Pratiquant,<1h/j,1x/sem,2-3x/an
45,Femme,2190,Bac+5,Grande ville,Rarement,Occasionnel,2-4x/an,Équilibré,2,Gauche,Athée,<1h/j,2x+/sem,1x/an
67,Homme,500,Bac,Grande ville,Rarement,Occasionnel,1x/an,Végétarien,7,Gauche,Athée,1-3h/j,1x/mois,2-3x/an
40,Femme,2237,Bac+2,Banlieue,Rarement,Occasionnel,1x/mois ou +,Équilibré,7,Centre,Agnostique,1-3h/j,1x/sem,Jamais
21,Homme,2452,Bac,Grande ville,1-2x/sem,Régulier,1x/an,Équilibré,4,Centre,Pratiquant,<1h/j,Jamais,Jamais
21,Homme,1464,Bac+2,Campagne,Jamais,Occasionnel,2-4x/an,Bio,9,Droite,Agnostique,3h+/j,1x/sem,2-3x/an
29,Femme,2034,Bac+2,Grande ville,Jamais,Régulier,Jamais,Équilibré,5,Gauche,Agnostique,<1h/j,1x/mois,Jamais
39,Homme,508,Bac+2,Ville moyenne,Rarement,Occasionnel,2-4x/an,Industriel,5,Droite,Agnostique,<1h/j,1x/mois,Jamais
43,Femme,1016,Doctorat,Ville moyenne,3x+/sem,Occasionnel,1x/mois ou +,Bio,3,Centre,Athée,<1h/j,1x/mois,1x/an
57,Homme,1740,Bac+2,Grande ville,3x+/sem,Jamais,2-4x/an,Végétarien,10,Centre,Pratiquant,1-3h/j,1x/mois,Jamais
59,Femme,1752,Doctorat,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Industriel,1,Centre,Athée,1-3h/j,1x/sem,2-3x/an
52,Homme,2281,Bac+5,Grande ville,3x+/sem,Occasionnel,1x/an,Végétarien,5,Apolitique,Athée,3h+/j,1x/mois,1x/an
21,Femme,1050,Doctorat,Grande ville,Jamais,Occasionnel,2-4x/an,Équilibré,3,Apolitique,Agnostique,1-3h/j,1x/mois,1x/an
29,Homme,1727,Bac+5,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Équilibré,6,Gauche,Athée,<1h/j,Jamais,2-3x/an
21,Homme,1608,Bac,Grande ville,Rarement,Jamais,1x/an,Végétarien,5,Apolitique,Agnostique,<1h/j,Jamais,2-3x/an
69,Femme,2422,Bac+5,Grande ville,3x+/sem,Régulier,2-4x/an,Bio,7,Apolitique,Agnostique,<1h/j,2x+/sem,2-3x/an
48,Femme,3136,Bac,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Industriel,2,Gauche,Athée,1-3h/j,1x/mois,1x/an
24,Homme,3376,Bac,Grande ville,1-2x/sem,Régulier,1x/mois ou +,Industriel,6,Apolitique,Pratiquant,<1h/j,1x/sem,1x/an
27,Homme,745,Bac,Grande ville,3x+/sem,Occasionnel,2-4x/an,Industriel,8,Apolitique,Pratiquant,1-3h/j,1x/mois,2-3x/an
41,Femme,1961,Bac+2,Ville moyenne,1-2x/sem,Occasionnel,1x/mois ou +,Équilibré,5,Gauche,Athée,1-3h/j,2x+/sem,Jamais
32,Homme,1109,Bac+2,Grande ville,1-2x/sem,Régulier,2-4x/an,Industriel,1,Apolitique,Agnostique,<1h/j,Jamais,Jamais
56,Homme,1948,Doctorat,Ville moyenne,3x+/sem,Régulier,1x/an,Industriel,4,Apolitique,Croyant non pratiquant,<1h/j,1x/mois,1x/an
37,Femme,2338,Bac+2,Grande ville,Rarement,Occasionnel,2-4x/an,Bio,1,Apolitique,Pratiquant,3h+/j,1x/sem,1x/an
24,Homme,2065,Bac+2,Ville moyenne,Jamais,Occasionnel,2-4x/an,Équilibré,9,Droite,Pratiquant,3h+/j,Jamais,4x+/an
30,Homme,1960,Bac+2,Ville moyenne,Rarement,Jamais,Jamais,Industriel,5,Gauche,Athée,3h+/j,1x/mois,1x/an
45,Homme,3186,Bac,Grande ville,1-2x/sem,Régulier,1x/an,Bio,5,Droite,Pratiquant,<1h/j,2x+/sem,1x/an
56,Femme,2576,Bac+5,Grande ville,Rarement,Régulier,1x/mois ou +,Industriel,6,Droite,Croyant non pratiquant,3h+/j,2x+/sem,1x/an
35,Femme,1781,Aucun,Ville moyenne,1-2x/sem,Régulier,2-4x/an,Végétarien,4,Gauche,Pratiquant,3h+/j,2x+/sem,2-3x/an
64,Femme,2019,Bac,Grande ville,1-2x/sem,Jamais,1x/mois ou +,Végétarien,6,Apolitique,Pratiquant,1-3h/j,2x+/sem,Jamais
28,Homme,2696,Aucun,Grande ville,Jamais,Régulier,1x/an,Industriel,9,Centre,Agnostique,1-3h/j,1x/sem,1x/an
53,Femme,2487,Bac+5,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Industriel,1,Gauche,Athée,1-3h/j,1x/sem,1x/an
53,Femme,1659,Bac,Ville moyenne,3x+/sem,Occasionnel,2-4x/an,Bio,8,Apolitique,Agnostique,Jamais,2x+/sem,2-3x/an
19,Homme,579,Doctorat,Grande ville,1-2x/sem,Occasionnel,1x/mois ou +,Industriel,6,Centre,Athée,1-3h/j,1x/sem,1x/an
65,Femme,1052,Bac,Ville moyenne,3x+/sem,Régulier,2-4x/an,Équilibré,9,Centre,Agnostique,3h+/j,1x/mois,Jamais
63,Femme,2116,Bac,Ville moyenne,3x+/sem,Régulier,2-4x/an,Industriel,8,Centre,Agnostique,Jamais,1x/mois,2-3x/an
34,Homme,570,Bac+5,Campagne,Rarement,Occasionnel,2-4x/an,Industriel,8,Apolitique,Pratiquant,1-3h/j,1x/sem,1x/an
23,Homme,1878,Bac+2,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Équilibré,10,Gauche,Athée,3h+/j,1x/mois,2-3x/an
58,Homme,1637,Bac+2,Grande ville,Jamais,Régulier,Jamais,Industriel,9,Droite,Pratiquant,1-3h/j,1x/sem,2-3x/an
63,Femme,2799,Bac,Grande ville,1-2x/sem,Occasionnel,2-4x/an,Équilibré,3,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,1x/an
40,Femme,945,Bac+5,Ville moyenne,Rarement,Régulier,Jamais,Équilibré,10,Apolitique,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
64,Femme,500,Bac,Banlieue,Rarement,Occasionnel,2-4x/an,Bio,10,Droite,Pratiquant,Jamais,Jamais,1x/an
33,Femme,1664,Bac+5,Grande ville,Jamais,Régulier,Jamais,Industriel,10,Apolitique,Athée,1-3h/j,1x/mois,2-3x/an
58,Femme,2507,Bac+2,Grande ville,1-2x/sem,Occasionnel,1x/mois ou +,Végétarien,6,Apolitique,Athée,<1h/j,1x/sem,Jamais
43,Femme,2855,Bac+2,Banlieue,1-2x/sem,Régulier,2-4x/an,Bio,9,Droite,Pratiquant,1-3h/j,Jamais,1x/an
63,Homme,1272,Bac,Grande ville,1-2x/sem,Régulier,1x/mois ou +,Bio,4,Centre,Croyant non pratiquant,1-3h/j,1x/mois,Jamais
67,Homme,2376,Aucun,Ville moyenne,Rarement,Régulier,1x/an,Équilibré,1,Apolitique,Athée,Jamais,1x/sem,2-3x/an
18,Homme,1110,Bac+2,Grande ville,Jamais,Régulier,2-4x/an,Équilibré,2,Apolitique,Croyant non pratiquant,<1h/j,2x+/sem,1x/an
53,Homme,1400,Bac+5,Banlieue,Rarement,Occasionnel,2-4x/an,Industriel,5,Centre,Athée,1-3h/j,Jamais,1x/an
47,Femme,2454,Bac+2,Grande ville,1-2x/sem,Jamais,1x/an,Équilibré,9,Apolitique,Pratiquant,Jamais,1x/sem,1x/an
19,Homme,2574,Bac+2,Banlieue,1-2x/sem,Occasionnel,2-4x/an,Équilibré,4,Apolitique,Pratiquant,1-3h/j,1x/sem,1x/an
37,Homme,1200,Bac+5,Ville moyenne,1-2x/sem,Jamais,1x/an,Équilibré,9,Droite,Pratiquant,3h+/j,1x/mois,4x+/an
22,Homme,2379,Aucun,Grande ville,Rarement,Régulier,Jamais,Équilibré,9,Droite,Pratiquant,3h+/j,1x/mois,1x/an
48,Femme,505,Bac,Grande ville,3x+/sem,Occasionnel,2-4x/an,Bio,7,Gauche,Croyant non pratiquant,Jamais,Jamais,1x/an
25,Homme,1837,Bac+2,Banlieue,1-2x/sem,Occasionnel,1x/an,Équilibré,9,Apolitique,Pratiquant,3h+/j,1x/sem,Jamais
47,Femme,1092,Bac,Ville moyenne,1-2x/sem,Régulier,2-4x/an,Bio,4,Gauche,Athée,1-3h/j,1x/sem,1x/an
56,Homme,1353,Bac,Grande ville,Jamais,Jamais,2-4x/an,Industriel,2,Apolitique,Athée,1-3h/j,2x+/sem,1x/an
19,Homme,979,Aucun,Grande ville,1-2x/sem,Occasionnel,1x/mois ou +,Industriel,3,Apolitique,Pratiquant,1-3h/j,1x/mois,1x/an
30,Homme,2442,Bac,Ville moyenne,3x+/sem,Jamais,1x/an,Équilibré,10,Centre,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
21,Femme,2443,Aucun,Ville moyenne,Rarement,Jamais,1x/mois ou +,Bio,7,Gauche,Agnostique,<1h/j,2x+/sem,2-3x/an
62,Homme,1447,Bac+5,Banlieue,3x+/sem,Occasionnel,1x/an,Équilibré,4,Centre,Croyant non pratiquant,3h+/j,1x/sem,4x+/an
69,Femme,2300,Bac+2,Banlieue,3x+/sem,Occasionnel,2-4x/an,Équilibré,1,Gauche,Agnostique,3h+/j,1x/mois,2-3x/an
25,Homme,2209,Bac+2,Banlieue,1-2x/sem,Jamais,Jamais,Bio,3,Gauche,Pratiquant,Jamais,2x+/sem,2-3x/an
56,Homme,1897,Aucun,Grande ville,Rarement,Occasionnel,2-4x/an,Équilibré,7,Gauche,Croyant non pratiquant,1-3h/j,1x/sem,2-3x/an
42,Homme,3726,Bac+5,Campagne,Jamais,Occasionnel,1x/mois ou +,Équilibré,4,Centre,Pratiquant,1-3h/j,1x/sem,2-3x/an
24,Homme,1327,Aucun,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Industriel,10,Gauche,Athée,<1h/j,1x/mois,Jamais
31,Homme,2011,Bac+5,Grande ville,Rarement,Régulier,2-4x/an,Industriel,10,Centre,Athée,3h+/j,1x/mois,2-3x/an
46,Femme,1694,Bac,Grande ville,Rarement,Occasionnel,2-4x/an,Équilibré,3,Droite,Croyant non pratiquant,3h+/j,1x/mois,Jamais
62,Femme,1702,Bac+5,Grande ville,Jamais,Jamais,2-4x/an,Équilibré,3,Apolitique,Croyant non pratiquant,3h+/j,1x/mois,1x/an
38,Homme,2127,Bac,Grande ville,1-2x/sem,Occasionnel,1x/mois ou +,Bio,6,Gauche,Agnostique,1-3h/j,1x/sem,Jamais
54,Femme,1764,Bac+2,Banlieue,Rarement,Jamais,1x/mois ou +,Bio,9,Droite,Pratiquant,<1h/j,1x/sem,Jamais
66,Femme,1311,Aucun,Banlieue,Rarement,Régulier,2-4x/an,Équilibré,8,Gauche,Pratiquant,<1h/j,1x/mois,Jamais
50,Femme,2099,Bac+2,Ville moyenne,3x+/sem,Occasionnel,1x/mois ou +,Végétarien,9,Centre,Croyant non pratiquant,<1h/j,1x/sem,Jamais
58,Homme,2945,Bac,Grande ville,Rarement,Jamais,1x/mois ou +,Industriel,3,Gauche,Athée,3h+/j,1x/mois,Jamais
42,Femme,2754,Bac+5,Banlieue,Rarement,Occasionnel,1x/an,Industriel,10,Gauche,Croyant non pratiquant,1-3h/j,Jamais,2-3x/an
63,Femme,2162,Bac,Banlieue,Jamais,Occasionnel,1x/mois ou +,Bio,3,Apolitique,Croyant non pratiquant,3h+/j,2x+/sem,2-3x/an
31,Femme,1411,Bac,Campagne,3x+/sem,Régulier,1x/an,Industriel,6,Gauche,Agnostique,Jamais,2x+/sem,Jamais
26,Homme,2149,Aucun,Grande ville,Rarement,Régulier,2-4x/an,Équilibré,8,Gauche,Agnostique,1-3h/j,1x/mois,2-3x/an
32,Femme,2867,Bac+2,Grande ville,3x+/sem,Régulier,1x/mois ou +,Industriel,1,Centre,Agnostique,3h+/j,1x/mois,4x+/an
24,Femme,2952,Bac+5,Campagne,Jamais,Régulier,2-4x/an,Équilibré,1,Apolitique,Athée,1-3h/j,1x/sem,1x/an
19,Femme,2287,Bac+5,Banlieue,Rarement,Occasionnel,1x/an,Industriel,10,Droite,Athée,<1h/j,1x/mois,Jamais
48,Homme,1708,Aucun,Grande ville,Rarement,Occasionnel,1x/mois ou +,Industriel,10,Gauche,Athée,3h+/j,1x/mois,1x/an
24,Homme,1837,Bac+2,Grande ville,Rarement,Occasionnel,2-4x/an,Équilibré,10,Gauche,Pratiquant,1-3h/j,Jamais,2-3x/an
58,Homme,2617,Bac,Grande ville,1-2x/sem,Occasionnel,1x/mois ou +,Équilibré,3,Centre,Athée,<1h/j,1x/mois,2-3x/an
28,Femme,2549,Bac+2,Ville moyenne,1-2x/sem,Occasionnel,2-4x/an,Industriel,6,Gauche,Croyant non pratiquant,1-3h/j,Jamais,1x/an
30,Homme,593,Bac,Grande ville,Jamais,Occasionnel,1x/an,Industriel,3,Apolitique,Athée,Jamais,2x+/sem,Jamais
30,Homme,2526,Bac+2,Campagne,Rarement,Occasionnel,1x/an,Bio,10,Droite,Athée,1-3h/j,Jamais,2-3x/an
43,Femme,2569,Bac+2,Banlieue,Rarement,Occasionnel,2-4x/an,Industriel,6,Apolitique,Pratiquant,1-3h/j,1x/mois,Jamais
60,Homme,1290,Bac+5,Grande ville,3x+/sem,Occasionnel,1x/mois ou +,Industriel,4,Droite,Athée,1-3h/j,1x/mois,4x+/an
67,Homme,1388,Bac+5,Banlieue,Rarement,Occasionnel,1x/mois ou +,Industriel,5,Gauche,Agnostique,<1h/j,1x/mois,2-3x/an
25,Homme,1394,Bac+2,Banlieue,1-2x/sem,Occasionnel,2-4x/an,Bio,1,Apolitique,Athée,3h+/j,1x/mois,4x+/an
31,Femme,1455,Bac,Campagne,3x+/sem,Régulier,1x/an,Industriel,3,Gauche,Agnostique,1-3h/j,1x/mois,Jamais
