Sexe,Âge,Statut_SocioEco,Type_Bac,Mention_Bac,Boursier,Note_Math,Note_Français,Note_Statistiques,Note_Programmation,Note_Anglais,Absences,Engagement_Associatif,Motivation,Stress,Temps_Travail_Perso_hebdo,Diplôme_Obtenu
Homme,19,Élevé,Général,Passable,Non,14.8,10.6,11.7,5.1,15.4,5,Aucun,5.8,6.9,1.7,Oui
Femme,20,Faible,Général,Assez Bien,Non,17.4,11.2,6.5,10.6,13.7,2,Occasionnel,6.6,8.3,5.8,Oui
Femme,15,Faible,Général,Assez Bien,Oui,12.9,12.7,9.8,16.6,12.9,5,Actif,7.4,10.0,10.5,Oui
Femme,17,Faible,Technologique,Passable,Non,11.7,13.8,14.4,10.5,15.1,4,Aucun,7.3,3.4,8.0,Oui
Homme,24,Moyen,Général,Passable,Oui,11.6,11.9,10.3,12.1,13.5,7,Occasionnel,5.8,1.0,3.8,Oui
Femme,25,Moyen,Technologique,Aucune,Oui,4.3,12.0,10.9,15.8,13.2,3,Occasionnel,8.2,7.1,12.6,Non
Homme,20,Moyen,Technologique,Aucune,Oui,13.7,12.4,11.9,9.6,13.6,3,Aucun,6.1,4.9,14.7,Oui
Femme,22,Moyen,Technologique,Passable,Non,11.9,10.7,14.0,18.1,12.8,6,Aucun,5.2,2.1,7.1,Oui
Femme,21,Moyen,Général,Bien,Non,12.8,9.7,5.5,18.0,13.0,3,Aucun,3.6,5.3,8.4,Oui
Femme,28,Moyen,Technologique,Passable,Non,9.4,7.6,12.3,10.5,11.8,5,Occasionnel,8.5,7.3,2.0,Non
Femme,23,Élevé,Général,Très Bien,Oui,10.3,10.3,9.7,9.0,11.5,3,Actif,6.5,5.1,6.3,Non
Femme,20,Moyen,Professionnel,Bien,Non,10.3,13.2,11.0,13.4,11.0,8,Aucun,6.9,3.5,10.0,Oui
Femme,18,Élevé,Technologique,Passable,Non,14.6,10.2,13.7,9.8,10.2,3,Actif,8.6,4.9,9.4,Oui
Femme,16,Moyen,Général,Bien,Oui,10.4,11.4,6.9,7.0,11.2,7,Occasionnel,5.5,5.5,6.0,Non
Femme,21,Faible,Général,Bien,Oui,17.7,13.2,7.5,15.5,12.7,5,Aucun,3.8,1.0,6.9,Non
Homme,19,Moyen,Général,Bien,Oui,12.8,13.3,4.7,15.3,13.2,6,Occasionnel,6.6,5.1,6.2,Oui
Homme,17,Moyen,Technologique,Passable,Non,7.7,9.3,8.9,11.5,12.5,4,Aucun,7.1,2.1,6.9,Oui
Femme,19,Moyen,Général,Assez Bien,Non,11.1,14.5,14.5,6.6,8.3,6,Actif,6.0,7.1,9.7,Oui
Femme,18,Faible,Général,Passable,Non,9.5,14.8,10.1,6.7,16.1,7,Occasionnel,9.4,1.6,0.1,Oui
Femme,25,Faible,Général,Bien,Oui,4.9,9.2,6.5,11.4,15.2,10,Occasionnel,1.5,8.0,7.7,Non
Homme,23,Élevé,Technologique,Passable,Non,16.3,9.9,9.0,9.3,13.9,7,Occasionnel,8.7,4.5,9.4,Oui
Femme,20,Faible,Technologique,Passable,Oui,13.6,15.0,6.0,9.8,16.8,6,Occasionnel,8.1,4.1,5.7,Oui
Homme,24,Élevé,Technologique,Bien,Oui,13.1,11.6,7.1,14.6,11.0,4,Actif,7.4,6.2,6.1,Oui
Homme,21,Faible,Technologique,Assez Bien,Non,12.0,6.5,11.7,13.6,16.8,6,Occasionnel,1.0,3.3,6.2,Oui
Homme,18,Moyen,Général,Bien,Oui,7.4,8.5,7.0,15.8,11.1,2,Actif,9.1,6.2,6.1,Non
Homme,24,Moyen,Général,Aucune,Non,10.0,11.4,13.8,7.5,13.5,2,Occasionnel,4.4,3.7,8.0,Oui
Homme,22,Moyen,Technologique,Assez Bien,Oui,14.0,9.1,10.3,9.8,10.5,3,Aucun,5.5,4.1,8.5,Oui
Femme,18,Moyen,Général,Aucune,Non,8.3,11.0,10.8,13.7,13.0,9,Actif,6.2,6.5,0.0,Non
Femme,20,Faible,Général,Bien,Oui,3.9,12.1,9.7,12.6,13.8,4,Occasionnel,7.3,2.7,10.6,Non
Femme,18,Faible,Général,Passable,Non,10.8,15.7,12.8,16.4,12.7,7,Occasionnel,7.8,2.3,6.8,Oui
Femme,17,Moyen,Général,Passable,Oui,11.1,11.3,12.8,12.5,14.4,8,Actif,8.3,6.1,15.7,Oui
Femme,23,Moyen,Général,Passable,Oui,11.9,14.7,11.5,17.5,13.2,6,Aucun,8.1,5.4,3.2,Oui
Homme,25,Élevé,Professionnel,Aucune,Non,13.7,15.6,12.2,12.9,12.0,3,Aucun,7.0,5.9,4.5,Non
Femme,17,Élevé,Général,Assez Bien,Oui,13.4,15.6,9.9,14.7,11.9,6,Aucun,7.3,6.3,7.2,Oui
Femme,22,Moyen,Général,Bien,Non,12.3,12.7,12.1,9.9,14.6,3,Occasionnel,4.3,5.6,9.7,Oui
Homme,19,Moyen,Général,Passable,Non,15.1,7.1,9.5,11.1,11.7,7,Actif,5.0,7.0,0.2,Oui
Femme,19,Moyen,Technologique,Passable,Oui,6.9,13.2,10.5,14.2,14.8,6,Actif,8.3,5.7,4.7,Oui
Homme,19,Faible,Général,Assez Bien,Oui,13.0,14.6,9.7,16.6,15.4,2,Aucun,8.2,1.0,10.4,Oui
Femme,18,Élevé,Professionnel,Bien,Non,13.4,11.8,9.1,13.6,9.7,1,Occasionnel,7.9,1.1,4.2,Oui
Homme,21,Moyen,Professionnel,Assez Bien,Non,7.8,16.4,8.4,10.7,15.3,2,Actif,5.5,10.0,13.5,Oui
Femme,18,Moyen,Général,Bien,Non,7.0,14.1,11.9,15.8,17.1,5,Occasionnel,8.3,5.5,6.2,Oui
Femme,21,Faible,Professionnel,Assez Bien,Non,9.3,13.4,14.4,3.3,13.5,4,Aucun,4.2,7.9,4.4,Oui
Homme,20,Moyen,Professionnel,Assez Bien,Non,9.5,14.7,14.0,6.0,14.2,5,Occasionnel,8.7,4.6,10.4,Oui
Homme,20,Moyen,Technologique,Passable,Oui,13.8,12.8,6.7,13.4,15.1,8,Actif,6.0,5.4,14.4,Oui
Homme,18,Élevé,Technologique,Bien,Non,9.7,5.8,14.4,11.0,12.4,4,Actif,9.9,4.4,9.7,Oui
Homme,19,Moyen,Général,Assez Bien,Non,8.9,10.8,9.5,13.1,13.4,6,Occasionnel,3.5,10.0,13.0,Oui
Homme,22,Moyen,Général,Bien,Oui,9.7,15.0,12.3,11.2,10.4,3,Actif,10.0,6.1,14.7,Oui
Homme,22,Élevé,Général,Bien,Oui,14.9,10.0,7.8,13.0,13.3,4,Aucun,5.8,4.2,4.3,Non
Homme,18,Faible,Général,Passable,Oui,11.5,11.4,10.9,8.1,14.0,8,Aucun,5.7,1.4,11.8,Oui
Homme,21,Moyen,Professionnel,Aucune,Oui,11.0,9.4,11.4,13.0,14.0,5,Actif,6.9,10.0,1.9,Oui
Femme,22,Faible,Général,Assez Bien,Non,11.2,16.5,6.0,14.5,15.1,7,Aucun,5.1,5.1,9.7,Oui
Femme,16,Moyen,Technologique,Passable,Oui,15.4,16.2,12.3,15.3,11.5,2,Aucun,6.4,7.4,7.7,Oui
Homme,22,Élevé,Technologique,Passable,Oui,9.3,9.8,14.5,18.0,11.9,5,Aucun,5.0,7.6,13.0,Oui
Femme,19,Faible,Professionnel,Passable,Oui,15.4,12.4,10.0,11.9,16.8,10,Occasionnel,5.1,4.3,12.7,Oui
Femme,22,Élevé,Professionnel,Bien,Non,12.1,10.3,14.6,12.0,12.7,4,Occasionnel,7.5,7.2,10.3,Oui
Femme,19,Faible,Général,Aucune,Non,11.0,13.5,9.9,5.7,13.4,5,Aucun,4.7,4.0,9.2,Oui
Femme,16,Élevé,Général,Assez Bien,Oui,19.0,13.3,13.0,9.1,12.9,3,Actif,5.0,3.0,10.0,Oui
Homme,16,Moyen,Général,Bien,Oui,8.3,14.0,3.8,10.3,11.4,3,Actif,3.8,8.4,8.2,Non
Femme,21,Élevé,Général,Très Bien,Non,10.4,12.8,17.8,14.7,16.2,8,Aucun,5.5,5.1,7.8,Oui
Homme,21,Faible,Général,Assez Bien,Non,7.8,19.3,15.0,8.9,11.9,3,Aucun,9.1,6.8,13.8,Oui
Femme,18,Élevé,Général,Bien,Oui,14.4,9.4,9.6,13.8,10.7,7,Occasionnel,4.8,6.5,14.3,Oui
Femme,22,Moyen,Technologique,Bien,Oui,16.6,7.7,4.6,11.0,12.1,8,Occasionnel,5.0,7.1,7.4,Oui
Femme,16,Moyen,Général,Bien,Oui,16.5,11.0,11.4,10.4,9.0,4,Aucun,6.9,1.6,9.0,Oui
Homme,20,Élevé,Général,Passable,Oui,15.2,8.1,6.2,11.9,11.7,5,Aucun,5.8,4.0,8.3,Oui
Femme,17,Faible,Technologique,Passable,Non,10.9,8.3,11.8,9.6,11.1,6,Aucun,10.0,4.7,1.6,Oui
Homme,19,Élevé,Général,Bien,Non,10.4,9.5,11.7,9.5,14.2,1,Aucun,6.2,3.4,6.7,Oui
Femme,21,Faible,Général,Passable,Non,6.5,9.7,7.7,5.0,11.7,2,Aucun,7.2,6.6,14.4,Non
Homme,18,Moyen,Technologique,Passable,Non,17.6,9.6,13.9,10.1,14.8,3,Occasionnel,8.4,8.5,5.0,Oui
Femme,20,Moyen,Technologique,Passable,Oui,12.9,13.3,12.9,9.3,15.8,4,Occasionnel,8.3,8.9,16.5,Oui
Homme,23,Faible,Technologique,Bien,Non,10.0,10.7,13.4,9.2,14.6,4,Occasionnel,7.0,4.7,12.7,Oui
Homme,19,Faible,Général,Passable,Non,15.5,11.6,10.5,12.5,12.6,4,Aucun,6.2,6.2,9.6,Oui
Femme,23,Faible,Technologique,Aucune,Oui,8.6,14.2,6.3,13.3,13.3,3,Occasionnel,10.0,6.6,10.2,Non
Homme,18,Moyen,Technologique,Passable,Oui,12.7,10.1,13.4,11.8,10.0,5,Aucun,6.3,7.1,4.3,Oui
Femme,22,Moyen,Général,Bien,Non,11.0,11.3,9.7,14.5,12.7,5,Aucun,5.6,3.3,6.9,Non
Femme,24,Moyen,Technologique,Assez Bien,Oui,13.4,12.9,6.3,13.0,11.3,2,Occasionnel,5.2,10.0,13.8,Oui
Femme,14,Faible,Professionnel,Assez Bien,Oui,11.3,7.1,14.6,10.0,14.4,6,Occasionnel,3.0,7.8,5.5,Oui
Femme,19,Faible,Général,Assez Bien,Non,7.1,6.0,16.8,9.4,18.1,3,Aucun,8.1,7.9,12.2,Oui
Femme,22,Moyen,Général,Bien,Non,11.7,12.9,10.4,12.1,14.0,4,Occasionnel,1.8,8.5,2.5,Oui
Femme,20,Faible,Professionnel,Bien,Non,14.6,13.2,17.0,13.0,9.0,3,Actif,6.5,6.8,3.2,Oui
Femme,21,Élevé,Technologique,Passable,Non,11.4,17.2,10.8,15.9,12.3,6,Occasionnel,6.1,2.9,15.6,Non
Femme,19,Élevé,Général,Passable,Oui,13.8,12.4,9.4,15.2,13.2,4,Occasionnel,10.0,5.2,8.0,Oui
Femme,21,Moyen,Technologique,Bien,Non,8.4,14.0,8.6,9.1,13.2,1,Actif,2.8,1.4,5.8,Oui
Femme,20,Moyen,Général,Aucune,Non,11.4,11.5,15.4,10.6,11.5,9,Occasionnel,4.7,6.5,13.5,Oui
Femme,23,Élevé,Général,Bien,Non,9.6,12.7,8.2,13.3,13.5,7,Occasionnel,6.2,5.1,13.0,Oui
Homme,21,Faible,Général,Passable,Oui,13.7,16.2,12.7,14.7,10.5,5,Aucun,6.1,5.4,11.7,Non
Homme,21,Faible,Professionnel,Passable,Non,11.6,6.7,8.8,14.3,11.1,4,Aucun,5.4,8.5,5.7,Oui
Femme,19,Faible,Professionnel,Passable,Non,13.6,13.0,9.1,10.8,14.3,2,Occasionnel,6.3,4.4,6.9,Oui
Femme,19,Moyen,Général,Aucune,Oui,14.8,17.3,13.6,6.6,11.0,4,Occasionnel,4.0,4.9,9.2,Oui
Femme,19,Faible,Général,Bien,Oui,13.6,12.7,9.4,7.5,14.1,5,Aucun,7.2,5.6,10.8,Oui
Femme,21,Moyen,Général,Passable,Oui,12.3,16.1,9.3,12.0,10.3,4,Actif,1.9,1.0,6.0,Oui
Femme,19,Élevé,Professionnel,Bien,Oui,8.5,10.4,13.9,12.2,16.5,6,Aucun,6.4,4.8,8.7,Oui
Femme,21,Élevé,Professionnel,Passable,Non,11.5,11.9,15.3,7.2,11.5,3,Occasionnel,5.3,1.0,9.1,Oui
Femme,26,Moyen,Technologique,Passable,Oui,9.9,12.1,12.4,11.2,12.6,7,Aucun,8.5,4.0,13.1,Oui
Femme,23,Faible,Technologique,Passable,Oui,10.5,6.5,8.5,13.2,13.7,5,Aucun,10.0,7.6,11.0,Non
Homme,20,Élevé,Technologique,Bien,Non,10.4,9.1,9.0,7.0,11.9,6,Actif,5.8,6.6,2.0,Non
Femme,24,Moyen,Général,Passable,Oui,8.6,9.3,10.7,14.9,13.3,7,Aucun,9.3,4.0,7.1,Oui
Homme,19,Faible,Général,Bien,Non,5.6,14.1,11.5,9.7,14.2,2,Aucun,5.9,5.6,4.3,Oui
Femme,15,Faible,Général,Très Bien,Oui,9.5,14.2,7.5,15.4,14.9,6,Occasionnel,4.6,2.8,10.3,Oui
Femme,18,Élevé,Technologique,Passable,Non,12.1,12.8,12.7,9.1,14.6,4,Occasionnel,10.0,5.5,11.7,Oui
Homme,16,Moyen,Technologique,Assez Bien,Non,7.5,14.1,10.8,7.4,12.7,6,Occasionnel,7.5,10.0,8.4,Non
Femme,20,Élevé,Général,Passable,Non,11.5,11.6,5.4,9.4,12.7,3,Actif,6.5,10.0,6.9,Non
Homme,21,Élevé,Professionnel,Assez Bien,Oui,17.2,15.0,7.7,10.7,17.7,6,Aucun,7.9,5.6,8.3,Oui
Femme,25,Moyen,Général,Bien,Non,14.6,12.0,9.0,9.6,14.9,8,Occasionnel,7.0,5.9,8.8,Oui
Femme,21,Moyen,Général,Passable,Oui,16.4,12.1,10.3,10.2,11.2,3,Occasionnel,6.4,3.1,5.4,Oui
Homme,20,Moyen,Technologique,Assez Bien,Oui,12.7,11.3,16.2,12.2,13.2,7,Actif,3.8,3.5,3.1,Oui
Femme,23,Moyen,Technologique,Bien,Oui,15.0,13.7,11.2,10.4,12.3,15,Actif,6.0,6.4,0.0,Oui
Homme,15,Moyen,Technologique,Passable,Non,9.3,10.9,8.0,10.8,12.7,7,Occasionnel,7.7,4.2,13.1,Oui
Femme,21,Moyen,Général,Assez Bien,Non,9.6,14.4,11.2,5.0,10.5,6,Occasionnel,6.3,7.8,10.0,Oui
Homme,22,Moyen,Général,Assez Bien,Non,3.3,9.2,9.4,12.4,12.2,3,Aucun,8.3,9.4,9.5,Non
Homme,17,Élevé,Technologique,Assez Bien,Oui,15.1,9.3,11.5,10.7,16.6,2,Aucun,7.3,6.3,13.1,Oui
Femme,23,Moyen,Général,Passable,Oui,16.1,13.7,12.2,16.6,14.2,5,Occasionnel,4.7,5.8,3.0,Oui
Femme,21,Moyen,Général,Passable,Non,9.8,11.8,14.1,7.7,8.0,6,Occasionnel,3.9,1.3,1.1,Non
Homme,19,Moyen,Technologique,Passable,Oui,10.7,10.9,10.4,4.7,15.4,6,Occasionnel,6.2,7.4,9.5,Oui
Femme,22,Moyen,Général,Bien,Non,9.2,14.2,15.4,13.2,15.2,4,Occasionnel,5.5,2.6,9.2,Oui
Femme,26,Moyen,Technologique,Passable,Oui,12.6,10.5,13.2,12.2,12.3,1,Aucun,7.2,4.5,1.1,Non
Femme,21,Faible,Technologique,Passable,Non,14.9,11.5,8.4,7.5,14.4,6,Occasionnel,5.1,7.9,9.4,Oui
Homme,21,Moyen,Général,Passable,Non,6.3,15.5,17.1,5.6,11.3,8,Aucun,5.3,8.1,6.4,Oui
Homme,19,Faible,Général,Assez Bien,Oui,12.7,15.8,11.5,16.4,12.1,2,Aucun,8.6,4.3,4.8,Oui
Homme,18,Moyen,Technologique,Passable,Oui,10.7,15.9,8.0,15.9,16.0,2,Aucun,6.8,4.5,6.7,Oui
Homme,23,Moyen,Technologique,Passable,Non,11.8,11.3,15.5,2.3,12.5,2,Actif,5.1,3.8,0.0,Oui
Homme,18,Moyen,Technologique,Bien,Non,12.9,15.1,16.7,9.4,9.3,5,Aucun,6.5,2.5,5.6,Oui
Homme,21,Élevé,Technologique,Assez Bien,Oui,10.9,9.6,10.4,16.8,12.9,7,Actif,9.3,3.9,5.2,Oui
Homme,19,Moyen,Technologique,Passable,Oui,11.2,9.7,9.0,9.3,12.8,7,Aucun,7.1,1.5,10.2,Non
Homme,22,Moyen,Professionnel,Très Bien,Non,10.9,6.1,10.0,9.3,15.4,9,Aucun,7.7,7.2,7.4,Oui
Homme,21,Moyen,Général,Aucune,Non,14.4,16.2,12.6,10.0,13.0,4,Actif,5.0,6.5,10.6,Oui
Femme,23,Moyen,Général,Passable,Oui,12.8,9.8,14.3,7.1,12.2,7,Occasionnel,8.6,6.9,0.0,Oui
Homme,19,Faible,Général,Assez Bien,Non,12.2,11.7,12.2,5.0,15.1,5,Aucun,10.0,3.1,4.6,Oui
Femme,20,Faible,Général,Bien,Oui,7.7,9.7,10.8,14.7,13.2,7,Aucun,4.9,2.5,10.2,Non
Femme,18,Moyen,Général,Bien,Non,10.4,13.7,15.0,4.5,11.5,7,Actif,4.1,5.6,6.8,Oui
Femme,19,Moyen,Général,Aucune,Oui,14.2,11.1,9.6,11.9,15.3,3,Aucun,6.9,5.7,11.4,Oui
Homme,21,Faible,Professionnel,Bien,Non,11.6,8.7,13.6,14.1,13.4,5,Occasionnel,8.3,5.1,0.8,Oui
Homme,22,Faible,Général,Passable,Non,13.5,13.1,9.6,5.9,13.0,5,Aucun,6.3,4.8,10.9,Oui
Homme,18,Faible,Général,Assez Bien,Non,16.8,8.4,11.8,7.8,13.4,5,Aucun,4.4,9.8,5.4,Oui
Homme,23,Élevé,Général,Bien,Non,14.6,9.9,10.2,15.2,10.9,5,Aucun,6.3,6.6,5.1,Oui
Femme,24,Moyen,Général,Très Bien,Non,11.8,6.7,10.3,12.9,11.9,8,Occasionnel,7.7,10.0,12.0,Oui
Homme,22,Moyen,Général,Assez Bien,Non,10.0,8.4,9.4,8.8,13.0,2,Occasionnel,5.7,8.7,12.6,Non
Homme,25,Faible,Général,Aucune,Non,3.8,12.4,14.5,15.2,12.6,6,Aucun,7.7,9.8,12.1,Oui
Homme,19,Moyen,Général,Assez Bien,Non,11.0,7.1,8.3,15.2,15.5,6,Occasionnel,8.8,2.8,16.2,Oui
Homme,17,Faible,Technologique,Assez Bien,Non,10.5,8.3,8.3,11.9,13.4,6,Actif,7.0,7.0,13.1,Non
Homme,16,Faible,Professionnel,Bien,Non,12.7,12.0,16.9,7.8,14.7,1,Actif,6.4,4.4,4.8,Oui
Femme,24,Moyen,Professionnel,Assez Bien,Oui,11.0,10.6,13.4,9.6,13.0,10,Aucun,8.2,1.3,8.6,Oui
Homme,22,Faible,Technologique,Assez Bien,Non,10.5,17.0,3.3,12.0,15.1,5,Aucun,4.8,9.2,6.6,Oui
Femme,20,Faible,Général,Passable,Oui,6.2,16.6,8.8,10.3,13.8,3,Actif,4.6,4.8,16.1,Oui
Homme,21,Faible,Professionnel,Assez Bien,Non,8.7,9.8,5.1,14.3,13.0,0,Aucun,6.0,2.9,12.4,Oui
Femme,18,Faible,Professionnel,Assez Bien,Oui,12.9,13.4,7.6,5.6,13.0,7,Aucun,5.5,4.5,7.2,Oui
Homme,27,Faible,Général,Bien,Non,16.6,13.9,1.1,5.8,11.1,4,Actif,4.9,3.5,11.5,Non
Homme,21,Moyen,Technologique,Aucune,Non,11.2,10.5,10.1,11.6,14.0,6,Aucun,10.0,3.8,3.1,Oui
Femme,21,Élevé,Général,Bien,Non,12.5,8.3,7.1,9.3,12.9,4,Aucun,10.0,4.9,9.0,Non
Femme,22,Moyen,Technologique,Très Bien,Non,14.4,12.0,10.7,8.8,12.0,2,Aucun,5.8,9.8,4.2,Oui
Femme,22,Moyen,Professionnel,Passable,Oui,9.1,11.6,5.6,4.8,15.2,4,Actif,6.7,3.8,1.2,Oui
Homme,21,Faible,Général,Assez Bien,Oui,12.6,10.9,10.7,11.1,10.5,9,Aucun,6.1,9.6,11.1,Oui
Femme,19,Élevé,Professionnel,Assez Bien,Oui,9.3,13.1,9.3,10.8,12.2,4,Actif,8.7,7.6,11.6,Oui
Homme,22,Moyen,Technologique,Assez Bien,Non,14.1,10.1,15.0,13.3,15.1,5,Occasionnel,9.1,6.5,9.8,Oui
Homme,25,Faible,Professionnel,Passable,Oui,12.0,9.1,14.7,11.2,13.6,8,Occasionnel,2.9,7.4,7.3,Oui
Femme,24,Moyen,Général,Bien,Non,12.4,12.3,12.9,10.5,12.9,2,Aucun,7.5,5.5,2.9,Non
Femme,24,Faible,Technologique,Passable,Oui,9.2,13.0,9.5,15.1,13.5,2,Aucun,3.9,8.7,3.4,Oui
Homme,19,Moyen,Général,Assez Bien,Oui,13.6,9.1,16.5,6.4,13.4,5,Occasionnel,10.0,6.9,4.1,Oui
Homme,18,Moyen,Général,Assez Bien,Oui,17.8,14.3,5.8,12.9,10.0,4,Aucun,7.4,1.3,7.1,Oui
Femme,20,Élevé,Général,Assez Bien,Non,8.5,7.6,6.3,5.2,12.3,8,Actif,4.9,6.2,12.3,Non
Femme,21,Moyen,Professionnel,Bien,Non,10.5,10.6,10.2,8.1,16.2,6,Aucun,6.0,7.5,12.2,Oui
Femme,23,Moyen,Technologique,Passable,Oui,12.2,11.4,17.3,6.8,11.7,9,Occasionnel,5.9,4.8,1.4,Oui
Homme,16,Élevé,Professionnel,Assez Bien,Non,13.9,10.4,9.9,13.7,12.4,7,Aucun,7.6,5.8,5.2,Oui
Homme,24,Faible,Professionnel,Bien,Oui,9.8,10.6,10.0,10.8,11.9,2,Occasionnel,8.6,4.0,5.1,Oui
Homme,20,Faible,Général,Assez Bien,Non,3.0,16.7,6.2,11.0,12.8,8,Aucun,4.2,2.1,0.0,Non
Homme,19,Moyen,Général,Aucune,Non,15.6,9.9,13.3,7.1,11.8,3,Aucun,10.0,1.6,10.3,Non
Homme,18,Moyen,Général,Assez Bien,Oui,13.8,18.1,13.4,10.0,14.0,5,Actif,9.7,1.7,7.0,Non
Homme,16,Moyen,Général,Aucune,Non,6.3,13.1,12.9,8.3,13.4,4,Occasionnel,4.7,7.2,7.5,Oui
Femme,23,Élevé,Général,Bien,Oui,9.7,12.2,8.6,12.3,14.5,5,Occasionnel,6.6,1.0,13.4,Oui
Homme,21,Moyen,Général,Très Bien,Non,16.2,13.2,8.4,7.5,10.9,4,Occasionnel,9.9,3.8,8.4,Oui
Homme,17,Moyen,Général,Bien,Oui,15.8,18.3,6.6,15.7,12.3,8,Occasionnel,9.0,3.6,6.3,Oui
Homme,17,Moyen,Général,Assez Bien,Non,14.3,9.5,10.8,5.1,12.5,0,Aucun,5.8,4.8,10.3,Non
Femme,20,Élevé,Général,Bien,Oui,11.0,9.2,7.3,8.2,13.9,7,Aucun,8.1,1.0,12.2,Non
Homme,25,Élevé,Général,Très Bien,Non,11.7,10.1,7.0,16.9,11.4,4,Actif,10.0,6.5,9.2,Non
Homme,20,Élevé,Professionnel,Aucune,Non,11.1,12.1,9.2,9.5,14.8,5,Aucun,6.7,2.3,10.8,Oui
Femme,17,Faible,Technologique,Passable,Non,14.9,7.7,9.0,6.4,15.4,2,Occasionnel,5.2,8.3,7.4,Oui
Homme,20,Moyen,Professionnel,Passable,Non,8.9,12.1,8.9,11.8,11.0,3,Aucun,6.8,3.9,7.7,Oui
Homme,20,Faible,Général,Bien,Non,9.1,16.2,11.9,9.3,12.0,3,Aucun,7.0,5.3,8.5,Oui
Homme,14,Faible,Général,Bien,Oui,14.5,12.4,10.7,8.1,11.9,1,Aucun,5.5,5.5,5.0,Oui
Homme,20,Faible,Technologique,Très Bien,Oui,11.4,11.3,9.6,7.2,18.3,3,Occasionnel,7.4,6.1,5.7,Oui
Homme,20,Moyen,Général,Passable,Oui,15.6,10.5,11.0,20.7,12.1,4,Occasionnel,4.0,5.6,13.5,Oui
Femme,22,Moyen,Général,Aucune,Non,9.5,14.2,7.5,10.1,16.4,4,Aucun,5.2,4.4,16.0,Oui
Femme,25,Faible,Général,Assez Bien,Oui,11.3,9.9,10.8,4.3,10.5,7,Aucun,8.0,6.4,14.4,Oui
Femme,23,Moyen,Général,Bien,Non,8.7,16.6,11.0,16.2,11.0,9,Actif,3.0,6.7,2.7,Oui
Homme,20,Moyen,Général,Assez Bien,Non,11.5,16.8,6.0,13.1,11.6,1,Aucun,8.3,3.6,2.3,Oui
Homme,18,Moyen,Général,Bien,Oui,7.1,12.6,13.5,8.3,11.3,3,Actif,2.5,6.6,3.2,Oui
Homme,27,Faible,Technologique,Assez Bien,Oui,10.0,12.0,7.9,7.7,12.5,5,Actif,3.0,8.5,8.5,Non
Femme,21,Moyen,Général,Assez Bien,Oui,7.2,14.6,10.8,13.4,11.6,1,Actif,5.5,7.3,0.0,Non
Homme,21,Moyen,Général,Passable,Oui,13.6,14.7,14.0,10.1,11.4,3,Actif,7.1,7.8,5.6,Oui
Homme,20,Faible,Technologique,Bien,Oui,13.6,10.0,13.3,4.3,15.3,5,Aucun,9.2,5.9,13.6,Oui
Femme,21,Faible,Général,Très Bien,Oui,6.3,10.7,10.6,17.3,15.4,7,Actif,6.6,3.2,11.9,Oui
Homme,20,Moyen,Général,Aucune,Non,15.5,8.7,9.4,9.5,14.9,4,Actif,6.0,3.5,6.0,Oui
Femme,19,Élevé,Professionnel,Bien,Non,19.0,13.0,13.3,16.2,14.0,6,Actif,7.7,6.3,6.3,Oui
